DEBUG: 2026-02-12 22:23:24,233 INFO: Application started -----------
DEBUG: 2026-02-12 22:23:28,741 INFO: Get h3 index: 88589c8563fffff
DEBUG: 2026-02-12 22:23:28,819 INFO: Query bucket: None
DEBUG: 2026-02-12 22:23:28,877 INFO: Existing Alias: None
DEBUG: 2026-02-12 22:25:57,263 INFO: Application is starting -----------
DEBUG: 2026-02-12 22:25:57,267 INFO: Application started -----------
DEBUG: 2026-02-12 22:27:59,587 INFO: Application is starting -----------
DEBUG: 2026-02-12 22:27:59,594 INFO: Application started -----------
DEBUG: 2026-02-12 22:28:00,844 INFO: Get h3 index: 88589c8563fffff
DEBUG: 2026-02-12 22:28:00,895 INFO: Query bucket: None
DEBUG: 2026-02-12 22:28:00,899 INFO: Query Bucket: h3_index='88589c8563fffff' canonical_name='Sangotedo' center='POINT(3.6285 6.4698)' id=None
DEBUG: 2026-02-12 22:28:01,133 INFO: Existing Alias: None
DEBUG: 2026-02-12 22:28:01,133 INFO: New Alias: id=None bucket_id=1 name='Sangotedo' location=<WKTElement at 0x10f935af0; POINT(3.6285 6.4698)>
DEBUG: 2026-02-12 22:30:20,807 INFO: Get h3 index: 88589c8563fffff
DEBUG: 2026-02-12 22:30:20,844 INFO: Query bucket: h3_index='88589c8563fffff' id=1 center=<WKBElement at 0x10f9c4250; 0101000000ba490c022b070d40a9a44e4013e11940> canonical_name='Sangotedo' created_at=datetime.datetime(2026, 2, 12, 21, 28, 0, 880241, tzinfo=datetime.timezone.utc)
DEBUG: 2026-02-12 22:30:20,848 INFO: Existing Alias: name='Sangotedo' location=<WKBElement at 0x10f9c4e20; 0101000000ba490c022b070d40a9a44e4013e11940> id=1 bucket_id=1
DEBUG: 2026-02-12 22:30:33,903 INFO: Get h3 index: 88589c8563fffff
DEBUG: 2026-02-12 22:30:33,908 INFO: Query bucket: h3_index='88589c8563fffff' id=1 center=<WKBElement at 0x10f9c4e50; 0101000000ba490c022b070d40a9a44e4013e11940> canonical_name='Sangotedo' created_at=datetime.datetime(2026, 2, 12, 21, 28, 0, 880241, tzinfo=datetime.timezone.utc)
DEBUG: 2026-02-12 22:30:33,911 INFO: Existing Alias: name='Sangotedo' location=<WKBElement at 0x10f9d50d0; 0101000000ba490c022b070d40a9a44e4013e11940> id=1 bucket_id=1
DEBUG: 2026-02-12 22:34:29,470 INFO: Application is starting -----------
DEBUG: 2026-02-12 22:34:29,472 INFO: Application started -----------
DEBUG: 2026-02-12 22:34:30,222 INFO: Get h3 index: 88589c8563fffff
DEBUG: 2026-02-12 22:34:30,275 INFO: Query bucket: None
DEBUG: 2026-02-12 22:34:30,276 INFO: Query Bucket: h3_index='88589c8563fffff' canonical_name='Sangotedo' center='POINT(3.6285 6.4698)' id=None
DEBUG: 2026-02-12 22:34:30,336 INFO: Existing Alias: None
